Operação,Chave,Valor,Tempo de Execução (segundos),Status
READ,10,,9.322166442871094e-05,Failed
CREATE,10,Valor 10,0.003475666046142578,Success
READ,20,,6.985664367675781e-05,Failed
CREATE,20,Valor 20,0.0033559799194335938,Success
READ,5,,4.696846008300781e-05,Failed
CREATE,5,Valor 5,0.0030231475830078125,Success
READ,6,,3.933906555175781e-05,Failed
CREATE,6,Valor 6,0.003768444061279297,Success
READ,10,Valor 10,4.744529724121094e-05,Success
READ,10,Valor 10,2.4557113647460938e-05,Success
UPDATE,10,Novo Valor 10,0.0030846595764160156,Success
READ,10,Novo Valor 10,4.601478576660156e-05,Success
READ,10,Novo Valor 10,1.6927719116210938e-05,Success
DELETE,10,,0.0033464431762695312,Success
